,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
270,"Toll collections, commercial vehicle traffic nearing pre-Covid Levels, say experts",Three killed after two goods train collide in MP,"Are we heading towards society of lawlessness? Ex-CJI over rape-murder incidents, Hyderabad encounter",CM won't come under pressure: Sanjay Raut on demand for minister's ouster,Dera Sacha Sauda chief Gurmeet Ram Rahim held guilty of murdering journalist,Horror tales emerge as Bengal gang-rape survivors move Supreme Court,"Airbags, other safety features mandatory for new cars from October 2017",Drone spotted over Indian mission in Islamabad; India asks Pak to probe and prevent recurrence of 'breach of security'
271,"Ford recalls about 2.5M vehicles for latch, brake troubles","Train, bus collision kills at least 18 in Pakistan: Officials",Delhi fire tragedy: Building owner Rehan detained,Sanjay Raut questions silence over Lok Sabha MP Mohan Delkar's death,"Security beefed up in Haryana, Punjab ahead of verdict in scribe murder case; Ram Rahim an accused",Uttar Pradesh police questions Mukhtar Ansari in Banda jail in ambulance case,Registered owner or user of a vehicle: Who'll pay compensation in road accident?,Drone strikes in Jammu airbase was an act of terror: Air Chief Marshal Bhadauria
272,No return to pre-crisis air traffic before 2023: IATA,Five things to know about motor insurance riders,Mayawati urges Supreme Court to take cognizance of rising incidents of crime against women,From flashy diamantaire to fugitive: Nirav Modi's long road to extradition,Army Major arrested in murder case sent to 4-day police custody,Assam government brings in fresh curbs to contain the spread of coronavirus,Iran's only professional race car driver Laleh Seddigh offers some tips,"Pakistan-based terror groups behind weapons, narcotics dropped by drones in Jammu and Kashmir: DGP"
273,US airlines burn $10 billion a month as traffic plummets,"When health, motor, personal accident insurance are more needed than life cover","Air Chief Marshal Bhadauria safe, says IAF after shooting incident at Pearl Harbor",PNB scam case: UK judge to rule on Nirav Modi extradition case on Thursday,No plans yet to seek Waghmare's custody: Maharashtra SIT,Supreme defence of media freedom,"Hit-and-run case: Evidence suggests Salman Khan drove car, HC told",BSF opens fire after Pakistani drone spotted on International Border in Jammu
274,Domestic air passenger traffic fell by 33% in March: DGCA,"Parliamentary panel to examine accidents involving defence assets, assess defence procurement policy",Lok Sabha members raise issue of rising rape cases in country,SC to take up contempt plea against comic artist Kunal Kamra after 4 weeks,Muthalik's 'dog remark' on Gauri Lankesh murder case triggers row,Navy SEALs to shift from counterterrorism to global threats,Billy Bob Thornton hospitalised after car crash,"India developing capabilities to deal with drone threats in kinetic, non-kinetic realm"
275,"Stop, look, go: Tesla cars will now automatically detect traffic signals","Worker's death at Jharsuguda plant 'unfortunate', probe on to find exact accident cause: Vedanta","Karvy incident puts credibility of broking community at risk: Prakarsh Gagdani, 5Paisa","Pollution harms more than just lungs, may leave you depressed; can up suicide risk",Kathua case: Charges of rape and murder framed against 7 accused,"Military genius or sexist, slaving autocrat? 200 yrs later, the jury is still out on Napoleon",Victim died after car fell on him while being lifted: Salman Khan's lawyer,"Raj Kaushal, who directed over 400 ads & 'Pyaar Mein Kabhi Kabhi', passes away; Smriti Irani joins B-town in offering condolences to Mandira Bedi"
276,Online medical consultation platforms see huge rise in traffic during lockdown,Personal accident insurance vs life insurance: What should a young earner opt for?,"Over 2,000 incidents of stubble burning in 10 UP districts; chief secy seeks explanation","1,113 cases of suspected suicides in armed forces from 2010 to 2019: Govt",High security at Pathankot court ahead of Kathua rape-murder case trial,"Courts should not enlarge history sheeters on bail with ""blinkered vision"": Supreme Court",Seven best apps to use in your car,Pakistan won't host American bases as it may lead to 'revenge attacks': Imran Khan
277,Airtel sees higher traffic growth in suburban & rural areas than urban,Teen using phone while charging it loses three fingers,4th PW incident in a week at IndiGo: Plane returns to Kolkata after mid-air engine stall,"Missteps, depression & suicide: Sabyasachi Mukherjee opens up about the demons he has faced",Murderous BJP stabbing anyone coming in its way: Shiv Sena,"West Bengal polls: 23 pc candidates contesting phase 8 declared criminal cases against themselves, says ADR",How Apple could make a car without actually building a car,26/11 terror attack: US court to hold in-person extradition hearing of Tahawwur Rana on Thursday
278,India's domestic air traffic to fall to 90 million this fiscal: Report,"Soldier killed, five others injured in accident in JK's Poonch",DRI seizes more than 6kgs of smuggled gold worth Rs 2.50 crore in two separate incidents,Rajiv Gandhi assassination case: SC dismisses pleas opposing TN's move to release convicts,"Schoolboy's death: Accused to be treated as adult, says Court",26% candidates in phase 7 of West Bengal polls declared criminal cases against themselves,How Dera Sacha Sauda head Ram Rahim Singh refurbishes damaged cars,Reese Witherspoon reveals she underwent hypnosis to deal with panic attacks before filming 'Wild'
279,"COVID-19: Since March, 75,000 masks stitched by Tihar, Mandoli jail inmates",Next of kin of those killed in Amritsar train accident will be given govt jobs: Navjot Singh Sidhu,'Mayday' call incident: DGCA allows both Vistara pilots to resume duties,Four Indians among 290 killed in Sri Lanka blasts; over 500 injured,BJP leader leads rally for CBI probe into Kathua rape-murder case,'28% candidates contesting in WB polls phase-6 have declared criminal cases against themselves',"Salman Khan wasn't driving, says lawyer as appeal hearing starts",Ayodhya land deal: AAP's Sanjay Singh claims house 'attacked' by BJP supporters
280,JK highway closed for 5th day as MHAI intensifies clearance operations,"Amritsar accident: Bruised by Sidhu’s attacks, Akalis lap up chance to corner ex-ally",BJP leader alleges involvement of AAP minister in Hauz Qazi incident,Sri Lanka Blasts: No news of number of Indian tourists impacted so far,JK police expands probe in Kathua rape and murder case to Meerut,Those threatening of more Cooch Behar-like killings should be banned politically: Mamata Banerjee,"Hema Malini's driver booked for rash driving, detained",China's attacks on 'foreign forces' threaten Hong Kong's global standing: Top US envoy
281,PM Narendra Modi to address nation at 8 pm today on coronavirus outbreak,"Amritsar train accident: Dussehra event organisers did not have permits, say cops",268 phishing incidents observed till May this year: Ravi Shankar Prasad,Stop promoting terrorism: Rajnath tells Pakistan,Chhota Rajan found guilty of journalist J. Dey's murder,UP police team leaves for Punjab to bring back Mukhtar Ansari,'Slumdog Millionaire' actor Madhur Mittal critically injured in road accident,Ex-Mossad chief Yossi Cohen signals Israel behind Iran nuclear attacks
282,Full dress rehearsal for Republic Day Parade: Traffic congestion likely in central Delhi on Thursday,Worst accident caused by trespassing in history of railways,"Reduction in incidents of Naxal violence in country, scenario improving: MHA","Crippled with financial distress, cane growers committing suicide: Sharad Pawar writes to Modi",SC upholds Shibu Soren's acquittal in a 1994 murder case,22 pc candidates contesting in phase 4 West Bengal polls declared criminal cases against themselves: ADR,A car in Rajasthan CM Raje's convoy hit by a TV channel's vehicle,"Tech Mahindra, Reagene to file patent for molecule that potentially attacks coronavirus"
283,Hefty fines prompt most vehicles in Delhi to fall into line,'Ravana Dahan' has been taking place at accident site for over 20 years: Locals,Budgam chopper incident: Officers could face charge of culpable homicide,Suicide by Genpact executive raises ‘shooting the messenger’ concerns,"Kathua rape-murder accused plead not guilty, demand narco test",Yogi Adityanath govt will drag Mukhtar Ansari to Uttar Pradesh: Minister,Former Indian hockey captain Shashi Bala killed in road accident,"No delay on our part, says Railways after Shiv Sena MP's attack"
284,Security mock-drill shows cops reaching late due to traffic,"Supreme Court takes note of 3,597 deaths due to pothole-related accidents in 2017",Aviation regulator DGCA starts probe into Rahul Gandhi plane incident,Gang rape victim tries to commit suicide over alleged police inaction,Pakistani hand in Kathua rape-murder case: MP BJP chief,NIA invokes UAPA against Sachin Vaze; ATS out of probe,"Indian-American film-maker, Vijay Mohan, dies after accident in the US",Yemen's Houthis claim attack on Aramco facility; no Saudi confirmation
285,Gujarat slashes Centre’s new traffic fines by up to 90%,48 killed as bus falls into gorge in  Uttarakhand,Hindalco slips 2.5% due to spillage incident at Muri alumina refinery,"39-year old female flight attendant commits suicide, family alleges dowry harassment",Anand Mahindra tweets against Rajsamand murder,Chhota Rajan gets 10 years in jail in 2013 firing case,Indian American techie missing after freak accident in US,Chemical weapons watchdog OPCW strips Syria's rights over attacks
286,"Man sets motorcycle on fire after being issued Rs 16,000 challan for traffic rules violations",Newly-elected Karnataka Congress MLA Siddu Nyamagouda dies in road accident,Focus on incidents that led to Mi-17 crash at Budgam,"Air hostess commits suicide, family alleges dowry harassment",When Yogi Adityanath survived a murderous attack,Batla House encounter: Court convicts Indian Mujahideen man for killing Inspector M C Sharma,Car of Railway Minister D V Sadanand Gowda's cavalcade hits man,Priyanka Gandhi attacks Modi on lack of empathy for Assam
287,"Violators shell out Rs 1.41 crore in Haryana, Odisha post new Motor Vehicles Act",3 AIIMS doctors enroute to Agra killed in accident on Yamuna Expressway,Rajnath Singh: 12% drop in communal incidents in 2018,639 farmers ended lives in Maharashtra between March and May this year: State government,Gauri Lankesh murder case: SIT releases sketches,Bharatiya Kisan Union's Rakesh Tikait to hold rally in Madhya Pradesh's Sheopur on Monday,Rural Development Minister Gopinath Munde passes away after a road accident in Delhi,Finland says Chinese hackers behind parliament attack
288,Delhi Police personnel will have to pay twice penalty for traffic violation,"Educated drivers cause most road accidents, school dropouts safest",Aircraft incidents on the decline since 2013: DGCA data,"Gujarati pages in Maharashtra textbook, NCP leader threatens 'suicide'",Aarushi-Hemraj murder case: Intercourse theory takes a knock,"HC grants bail to labour rights activist Naudeep Kaur, released from Karnal jail",Delhi minister Rakhi Birla's car attacked,Attacks on Chinese-run factories in Myanmar vex Beijing
289,"Kashmir: Firecrackers used to disrupt traffic, gun-wielding youths threaten shopkeepers",1.46 lakh people killed in road accidents in 2017: Nitin Gadkari,"Amritsar blast: Woman volunteer, eyewitnesses narrate the incident",Farmer’s suicide may hit Maharashtra government,Allahabad High Court acquits Talwars in Aarushi double murder case,"After 'The White Tiger', Ramin Bahrani to reunite with Aravind Adiga for 'Amnesty' adaptation","Lalu Prasad injured in freak road accident, sustains injuries on head",Twin Burkina Faso attacks kill three
290,"Maruti, Microsoft develop tech to test driver's license applicants","Modi asked me why I wasn’t letting bills be passed amid din, writes Hamid Ansari in new book","Why only water, not booze on tap? Kerala incident may give ideas to those intent on tipp(l)ing poll balances",Effective response to Pulwama attack showed India can take strong decisions for its troops: Amit Shah,"Karnataka couple stabbed in Munich, 1 dead",Chair not as neutral as it should be: Chidambaram,Fines are fine: States opposing the penalties in the amended Motor Vehicles Act,Alert soldiers thwart another attack by drones on Army station in Jammu; RDX may have been used in explosives dropped on IAF station
291,"Adani Group to take over airport operations at Mangaluru by Oct 31, Lucknow by Nov 2, Ahmedabad by Nov 11: AAI",Cops tried to protect deceased after his tractor turned turtle: FIR,India to consider shifting dividend tax to investors from firms,"""I forgive,"" says Rahul Gandhi on his father Rajiv Gandhi's killers","YSR's brother Vivekananda Reddy found dead, case for unnatural death filed",Court slams Delhi Police for not filing FIR of riot victim,Unnao case: 'In-camera' proceedings to record rape survivor's statement begins at AIIMS,Jammu: Indian Army sentry opens fire after noticing suspected drone over brigade headquarters
292,"Cube Highways pays Rs 5,011 crore to NHAI for TOT-3",Wealth amassed by 100 richest Indians during pandemic can give 13.8 cr poorest Rs 94k each: Oxfam,"Kudankulam Nuclear Power Plant in Tamil Nadu safe, claims NPCIL",Bombay High Court refuses to quash FIR against Sushant Singh Rajput's sister Priyanka Singh,"Tandoor murder case: Sushil Sharma serving life term to be released, says HC",'Like a hell': Ethiopia airstrike survivors recall massacre,Steep penalties for traffic rule violations from today,"3 things nailed Pulwama mastermind: Adidas jacket, Kashmiri lover and a damaged mobile"
293,Israel sees commercial aviation deal with UAE within days,Farmers protest: Uttar Pradesh police withdraws 'ban' on fuel to tractors,"Kulgam attack: Mamata seeks 'strong' probe, announces Rs 5 lakh compensation","BJP government has lost moral ground to rule, says Punjab Chief Minister Amarinder Singh",CBI probe into activists' murders: Supreme Court says 1 agency can investigate if there's common thread,1000s of farmers reach Hisar to protest against FIR against around 350 of them,Unnao gang rape: CBI gets time till Sep 9 to finish probe,Leading Chinese solar equipment vendor attacks peers from mainland for collusion and price hikes
294,British Airways CEO replaced as company fights for survival,"Punjab government hikes grant for marriage of construction workers' daughters to Rs 51,000","Toll in rain-related incidents mounts to 148 in India, several areas inundated in Bihar, UP","PM, Vice President pay tribute to Pulwama martyrs; CRPF says nation won't forget sacrifice","SIT files 9,235-page second charge sheet in Gauri Lankesh murder case","Assam imposes more restrictions, all offices shut in urban areas for 15 days",Now get higher compensation for third-party motor claims,Market Movers: High beta stocks get a drubbing as Robinhoods have a mini panic attack
295,,"Serum pegs losses due to fire at over Rs 1,000 crore; Maha CM says probe in blaze on","Toll in rain-related incidents mounts to 134 in India, several areas inundated in UP, Bihar",JP Nadda pays tribute to CRPF personnel on 2nd anniversary of Pulwama terror attack,SC dismisses plea alleging custodial torture of key Kathua rape-murder case witness,Indian wrestling's image has been tarnished due to accusations against Sushil Kumar: WFI,How Internet of Things will change the way organisations work,"Biden G7, NATO to-do list: unite allies, fight autocracy, attack COVID-19"
296,Major ports' cargo traffic falls for 6th straight month in Sep; logs 14% drop in H1 FY21,"Shivamogga explosion: Two detained, Karnataka CM BS Yediyurappa condoles deaths",Unnao case: Court asks Apple Inc to disclose MLA Sengar's location on day of rape incident,"PM wants to 'hand over' entire agriculture business to his 'two friends', alleges Rahul Gandhi",Victim held captive in temple before murder: J&K police,Delhi riots: Delhi HC reserves order on bail pleas of JNU students in UAPA case,Tesla shares fall after driver claims car crashed while using autopilot,"Delta variant attacked partially vaccinated, earlier infected, says Insacog Delhi study"
297,Union Cabinet approves Bengaluru suburban rail project,Punjab govt gives Rs 5 lakh each to families of 4 farmers who died during protest against farm laws,Big incident by terrorist of neighbouring country on India's coastline cannot be ruled out: Rajnath Singh,LS member demands regulatory mechanism to curb backdoor appointments in public services,Will track murderers of BJP activists from abyss: Amit Shah,Explained: Who are the Skripal poisoning suspects allegedly behind deadly Czech blast,"Oil tanker fire overshadows Eid celebration in Pak, death toll rises to 157",BJP leader stirs pol cauldron in Bihar with vitriolic attack on Nitish; served show-cause
298,"JNPT traffic declines 26 pc till July since COVID-19 outbreak, sees recovery ahead","Nitin Gadkari stresses upon making public transport people friendly, safe, pollution-free",Indian Army officer posted at UN mission in DR Congo dies in kayaking incident,"Rahul Gandhi attacks govt, says ""only 4 people running this country -- 'Hum do, Hamare do'""",Supreme Court closes proceedings against Tej Pratap in murder case,CBI quizzes ex-Maharashtra home minister Anil Deshmukh for 8 hours,The sub-atomic forces and processes enabling our hi-tech lives (Book Review),Delhi CM will continue to demand Covid vaccines despite attack by BJP: Manish Sisodia
299,Domestic air traffic revival fails to meet expectations; is at 45% of pre-pandemic levels,Sports Minister Kiren Rijiju gets additional charge of AYUSH Ministry,"Auto LPG body seeks GST cut, level playing field to spur usage",TRP scam: HC extends Arnab Goswami's interim relief till March 5,Aarushi murder case: Supreme Court admits plea against acquittal of Talwars,"Mukhtar denied food, water during Punjab-UP transfer, alleges brother; govt says no health issues",Motor racing-Bourdais has successful surgery after crash at Indy,"Iran names suspect in Natanz attack, says he fled country"
300,Covid-19: Netflix to reduce traffic on telecom networks by 25% to mitigate congestion,Kamal Haasan undergoes successful knee surgery,"Eid in Jammu & Kashmir passes off peacefully barring few incidents, no firing in Valley: Police","SP leader demands repeal of farm laws, guarantee on MSP in Rajya Sabha",US Navy veteran pleads guilty to Indian techie Srinivas Kuchibhotla's murder,Take custody of Mukhtar Ansari by April 8: Punjab to Uttar Pradesh govt,Reuters Sports News Summary,Russian intelligence calls US cyber attack claims 'nonsense'
301,"New speed limits for Mumbai flyovers, highways",NGT directs committee o submit report on ammonia gas leak at IFFCO plant in UP,"J&K police to procure 4,000 weapon safety systems to curb gun-snatching incidents",Protesting farmers demanding 'minimum' support price unlike maximum by corporates: Congress,Shankaracharya Jayendra Saraswathi overcame ordeal of murder charge in 2013,Mohali court rejects Mukhtar Ansari's plea for medical examination,Reuters Sports News Summary,IAF inducts specialist vehicles for airbase security against terror attacks
302,"Motor Vehicles Act: 5 months on, Delhi traffic police can’t impose higher fines",15 Rajasthani labourers sleeping on footpath killed after truck runs over them in Surat,When an unwell Sheila Dikshit wanted to quit in 2012 but stayed on due to Nirbhaya incident!,Video emerges of Sri Lankan suicide bomber patting young girl's head,Karachi murder raises red flag on China's $50 billion projects,Sachin Waze procured explosives found in SUV near Ambani's house: NIA,NFL-National Football League roundup,"Attack on Iran's Natanz plant muddies US, Iran nuclear talks"
303,"Scooty owner challaned Rs 6,300 after Priyanka Gandhi rides it without helmet in Lucknow: Traffic police",,"Flood death toll rises to 97 in Assam, Bihar; 3 killed in UP in rain-related incident",IS hand in Sri Lanka blasts? Pics of 3 suicide bombers appear online,Kim Jong-Nam murder suspect 'hired for multiple pranks': Lawyer,A 'grinding and crushing' knee on George Floyd: Opening statements begin in ex-officer's trial,"Once a fugitive, this billionaire aims to be Russia's Jeff Bezos",Yemen's Houthis say they attacked Saudi Aramco facilities; no Saudi confirmation
304,"North India in frigid grip of cold; schools closed, rail, air traffic hit","Shabana Azmi back home from hospital, says indebted to Tina Ambani for sterling care at Kokilaben hospital","Post Air India incident, DGCA bars off-duty crew members from travelling in cockpit",7 suicide bombers carried out Easter blasts in Sri Lanka,Court sends Indrani Mukerjea to judicial custody,11% candidates declared criminal cases against themselves in phase 2 Assam assembly polls: ADR,"Now, customise your travel insurance policy",Ten Myanmar policemen killed in attack by ethnic armies opposed to junta-report
305,Mannequin-power comes to Bengaluru traffic police's rescue,"Javed Akhtar shares Shabana Azmi's health update, says she's 'recovering well'","Landing incidents: DGCA finds safety breach by SpiceJet, issues notices to 4 senior executives","A murder, farmer suicides dominate the battle between estranged cousins in Osmanabad",Kasganj: One more accused in Chandan Gupta murder case held,"Trinamool Congress, BJP fight reaches Election Commission",Building an emergency kitty through mutual funds,"Bengal polls: Locket Chatterjee attacked in Hooghly, mediapersons' vehicles vandalised"
306,"Anti-CAA bandh called by RJD rocks Bihar; rail, road traffic disrupted",Iran says won't give Americans crashed plane's black boxes,"GJC delegation meets Election Commission, discusses harassment incidents",Martyr status for CAPF under active consideration,"Karnataka: Cong govt facilitates ease of doing murder, says PM","JNU students challenge dismissal of bail plea; HC seeks AAP govt, police stand",Building an emergency kitty using mutual funds,SC refuses to entertain plea for probe into alleged attack on Mamata Banerjee in Nandigram
307,"North India shivers in cold wave as fog affects rail, air traffic in Delhi","Grant Thompson, YouTube's 'King of Random', passes away in a paragliding accident",Terror incidents in Pakistan declined by 21 per cent in 2018: Report,Foreign Secretary briefs parliamentary panel on Indo-Pak front,"Court gives nod to withdrawal of 1996 case against Pravin Togadia, 38 others","Six special teams look for Punjab gangster, Rs 1 lakh reward for information",Railways to go shopping abroad for train wheel sensors,India trying to counter China's huge cyber-attack capability: CDS
308,"Anti-CAA protests: Traffic snarls in national capital, Delhi-Gurgaon border in gridlock",Navy begins court martial against 3 officers in INS Betwa accident case,"No fresh incidents of violence against Kashmiris since February 22, Centre to SC",SC refuses to order probe into Pulwama terror attack,Gandhi murder trial did not attain legal finality: SC told,High-level judicial inquiry should be ordered into Jan 26 violence and cases against farmers: Farmer unions,Pedestrian safety score may be must for new car models,Iran ship serving as Red Sea troop base near Yemen attacked
309,"Over 38 lakh traffic violation cases booked in last 2 months, Nitin Gadkari informs the Parliament",MobiKwik & Chola MS offer Rs 1 lakh accident cover at Rs 20 premium,A cyber security incident can be catastrophic for small businesses,Iran finds cause with India on cross-border terror,"Gangster Rajan denies Dey murder charge, blames Dawood Ibrahim for false cases",ED takes possession of attached assets in PMLA case against Naxal leader,Rapper Shane Redway dies in Toronto car crash,"3 TMC, 2 BJP candidates attacked on poll day"
310,Pak air traffic controller saves Jaipur-Muscat flight after pilot sounds alert,Govt preparing Rs 14k crore project to identify accident black spots,Airline went through some unfortunate incidents: AirAsia India CEO,View: Farm distress cannot be resolved without letting farm prices rise to global benchmarks,Court defers hearing of murder case of 7-year-old schoolboy,Records show fervent Trump fans fuelled US Capitol takeover,Mumbai Lawyer involved in car crash may have been with senior RIL executive at bar,Elusive Maoist leader Hidma in spotlight after latest attack
311,Penalties under Motor Vehicles Act reduced in Karnataka,"Govt mulling use of nitrogen filled tyres, silicon-mixed rubber to help reduce accidents",EVMs tamper-proof; EC working to minimise incidents of machine malfunction: CEC,CRPF attack plotter killed in Pulwama encounter,Gauri Lankesh murder: Bengaluru sees massive protest,26/11 attack: India awaits Pakistan response on witness testimony,Google's self-driving cars to hit the roads in US,"Chhattisgarh naxal attack: Telangana cops on alert, step up combing operations"
312,Deaths due to road accidents to come down amid heavy penalties for traffic violation: Nitin Gadkari,Railways register its best safety figures in almost four decades,Bulandshahr incident a 'political conspiracy': CM Yogi Adityanath,Those in public life must speak 'in sync' with people's sentiments: Congress on Navjot Singh Sidhu row,Priest of local temple Nikhil Debnath murdered in Kokrajhar,Malegaon blast: All seven accused asked to appear in court on December 3,2002 hit-n-run case: Salman Khan denies driving car; having drinks,Latest attack pushes US Capitol Police further toward crisis
313,This traffic pile-up in Bengaluru raises a big stink,6 killed as 11 coaches of Seemanchal Express derail in Bihar,Series of incidents involving EVMs prompts Election Commission into action,Government calls all-party meeting Saturday to brief about Pulwama attack,Not averse to ordering CBI probe: Minister on Gurgaon murder,'Today is Punjab's 26/11': Sukhbir on stopping farmers' Delhi Chalo march,"Hit-and-run case: Can't say if tyres of Salman Khan's car caused mishap, says RTO officer","Naxal attack: Shah to visit Chhattisgarh, hold high-level meet"
314,Police suggest big-ticket infra projects to end traffic snarls,Should vehicle drivers or owners pay for third-party compensation in accidents?,DGCA in touch with regulator over Lion Air incident,Resources for mental health and suicide prevention,AR Rahman slams journalist Gauri Lankesh's murder,At least 68% of elected MLAs in Bihar face criminal charges: Report,"CSE's Sunita Narain recuperating after accident, says cyclists in Indian cities being edged out","Naxal attack: Amit Shah, Bhupesh Baghel cut short Assam visit"
315,"Heavy rains pound Mumbai; normal life, rail traffic hit hard","N Harikrishna, NTR's son & Andhra CM's brother-in-law, dies in road accident",Railway officials rush to train accident site in Punjab,Bhaiyyuji Maharaj suicide: Guru's associate gets power of attorney,Class 2 boy found murdered in Gurgaon school,"To create alibi, ex-Karnataka minister travelled to Delhi before, after BJP worker's killing: CBI",What is the cost of free or additional insurance? Find out,Befitting reply to Chhattisgarh Naxal attack will be given at appropriate time: Amit Shah
316,"Heavy rains return to Mumbai; rail, road traffic hit","Anant Geete's car meets accident, security officer injured",21 incidents of aircraft engine damage in 2017: Government,"Bhaiyyu Maharaj suicide: Won't conclude anything in haste, says police",US calls killing of Lankesh 'tragic murder',"Two Wisconsin officers shot, wounded in exchange of gunfire",Sivakasi fire accident: India's cracker town lax in adopting safety measures,Rajnath pays tribute to security personnel killed in Chhattisgarh's Bijapur Naxal attack
317,"Monsoon wreaks havoc in Mumbai; flights, trains, road traffic hit",50% of heirs of road accident victims don’t get compensation,Near miss incidents in Indian airspace fall in 2017,Shashi Tharoor is the victim of a flawed law: Swaminathan S Anklesaria Aiyar,CBI files cases in Shimla gangrape-murder case,"Arnab Goswami arrest: MVA never acted vindictively, says Sena's Raut","Fatal accidents in metros much less, thanks to enforcement of traffic rules","Suspect in US Capitol attack suffered delusions, paranoia, says American official"
318,"4 killed, air and train traffic hit as Mumbai battles heavy rain",Increase funds in STCs to compensate accident victims: CAG,Congress smells conspiracy in lynching incidents,Shashi Tharoor charged with abetting wife Sunanda Pushkar's suicide,Shimla rape and murder jolts Apple harvest and business,CBI team visits spot where Dalit woman was gangraped in Hathras,"Now, a new car app to prevent motorway pile-ups",Colombia military attack kills 10 FARC guerillas
319,Centre asks states to stamp global convention details on International Driving Permits,,"Sonbhadra DM, SP removed as Yogi Adityanath cracks down on errant officials after inquiry report","Farmers block key highways in Punjab, Haryana, Raj during 'chakka jam'; Scattered demonstrations in other states",Spotlight on CBI over chargesheet of two Dabholkar shooters,"Return to 'normal', but how? Kids struggle with re-entry after pandemic isolation","Unnao gang rape: CBI seeks a week's time from Delhi court to finish probe, file status report",
320,"Bengaluru airport opens 10,000 sq ft warehouse","Union minister Shripad Naik is conscious, recovering: Goa CM",Bali hotel heist takeaways: What freebies you can take away and what all you can't,Farmers in Karnataka blocked highways protesting Centre's farm laws,Shashi Tharoor sends legal notice to Ravi Shankar Prasad over 'murder accused' remark,Anil Deshmukh received over Rs 4 crore from bar owners and channeled them to his trust: ED,Delhi court directs Unnao rape case accused Kuldeep Sengar be shifted to Tihar jail,New era of robot war may be underway unnoticed
321,Hyundai now says recalled vehicles should be parked outside,AIIMS panel advises to take Union minister Shripad Naik off ventilator,Sonbhadra clash: Relative of main accused arrested,"Two years imprisonment, fine for online gambling in Tamil Nadu",Hisar tense as court to pronounce verdict in two murder cases against godman Rampal today,Joe Biden to recognise atrocities against Armenians as genocide,SC directs Unnao rape survivor to be airlifted to Delhi,Israel's attacks on Gaza may constitute 'war crimes': UN rights chief Michelle Bachelet
322,,Rajnath Singh visits Union minister Shripad Naik in Goa hospital,Seeds of Sonbhadra row were sown in 1952,"Mumbai DCP files defamation case against Goswami, ARG Outlier Media","Dabholkar murder: CBI likely to file charge sheet by Nov 18, HC told","Delhi riots: Police opposes in HC bail pleas of JNU students, claims larger conspiracy",View: Netas must understand that growth can’t be at the cost of environment,"Plea for SIT probe into attack on protesting farmers' camp: HC seeks Centre, Delhi govt's stand"
323,"The economy is picking up partly due to pent up demand, says NITI Aayog's Vice Chairman",Maharashtra: 10 babies die in Bhandara district hospital fire; CM Uddhav Thackeray orders probe,Question of trust: Government seeks info on FPI origins from Sebi,Supreme Court junks PIL seeking direction to CBI to submit status report in Sushant Singh Rajput death case,Delhi HC acquits former TV anchor Suhaib Ilyasi in his wife's murder case,"BJP MLA thrashed, clothes torn by protesting farmers in Punjab's Muktsar",Unnao rape case: CBI sleuths question Kuldeep Singh Sengar in Sitapur prison; victim critical,Iraq militia chief Qasim Muslih arrested over attacks on base hosting US forces: Security sources
324,Relief for road transporters as capacity utilisation rises,Notional income for homemakers in claims case signals law believes in their sacrifices: SC,"Modi condemns Akash Vijayvargiya incident, says VIP brats have no place in BJP",Farmers aggressively resorted to rioting during protests: Government,2 Russians military spies charged with attempted murder of Skirpals with deadly nerve agent,"Allegations against Anil Deshmukh: Pawar trying to save Maharashtra govt, says Fadnavis",Unnao rape accused MLA Kuldeep Singh Sengar's arms licences revoked,Saudi-led coalition in Yemen foils Houthi attack south of Red Sea: State media
325,,Judicial time not meant for adjudicating unsubstantiated flaws in policy matters of govt: SC,View: Much thought has gone into India’s unique GST design,"Only concerned about having farm laws repealed, budget does not matter: Farmers",Supreme Court terms as 'horrendous' the video of murder of Muslim man,25% candidates contesting Bengal polls phase-1 declared criminal cases against themselves: ADR,SC orders transfer of  Unnao rape case survivor's uncle from Rae Bareli jail to Tihar in Delhi,Air India data breach: SITA says cyber attackers ‘accessed some systems for 22 days at Atlanta centre’
326,Domestic traffic's slow growth due to inconsistency among states on quarantine rules: IndiGo,"24 dead, 17 injured in roof collapse at Muradnagar cremation ground",Lynching incidents shouldn't be politicised or given communal colour: Mukhtar Abbas Naqvi,BJP MLC MK Pranesh elected Karnataka Legislative Council deputy chairman,Kalburgi murder: SC seeks Centre’s view on SIT probe plea,16 per cent candidates in Phase-1 of Assam assembly polls face criminal cases: ADR,"Unnao case: CBI expands probe, waits for lawyer’s recovery","TN Congress veiled attack on DMK govt, flays 'political pressure' to get Rajiv case convicts released"
327,Domestic air traffic to decline by 41-46% in FY21 due to COVID impact: Icra,Year 2020: Andhra Pradesh witnesses confrontation between Executive and Judiciary,"Over 28,000 incidents of forest fire since January this year: Environment Minister Prakash Javadekar","Terming children foreign terrorist fighters may lead to stigmatisation, dehumanisation: India at UN",Bail denied to accused teenager in Ryan school murder case,33% sitting Tamil Nadu MLAs have criminal cases against them: ADR,BJP acknowledges having empowered a criminal: Priyanka on MLA Kuldeep Sengar's expulsion,AI-based solution helps India’s cotton farmers fight pink bollworm attack
